FRN,ProviderName,records,blocks
0003732633,"Alpine Communications, L.C.",993,977
0003732773,"Blackfoot Communications, Inc.",953,904
0003733029,Citizens Mutual Telephone Cooperative,1450,1196
0003733052,"Nebraska Technology & Telecommunications, Inc.",631,631
0003733086,"Panora Cooperative Cablevision Association, Inc.",43,43
0003733201,"D & P  Cable, Incorporated",2293,1821
0003733284,Kinsman Mutual Telephone Co.,59,59
0003733813,U.S. TelePacific Corp.,26700,22899
0003733847,Oregon Farmers Mutual Telephone Company,604,604
0003734167,Columbus Communications Services,240,240
0003734183,XTel Communications Inc.,85,84
0003734696,Germantown Independent Telephone Company,234,234
0003734803,Harrisonville Telephone Company,2453,2453
0003734951,Miles Cooperative Telephone Association,156,156
0003735016,"Starpower Communications, LLC d/b/a RCN",7261,5008
0003735776,"Windstream D&E Systems, Inc.",302,296
0003735784,"RCN Telecom Services of Illinois, LLC",9869,6558
0003735867,Citizens Telephone Company of Kecksburg,554,552
0003735875,"Citizens Telecommunication Technologies, Inc.",687,687
0003736238,Green Hills Telephone Corporation,2500,2286
0003736246,"Green Hills Communications, Inc. dba: Green Hills Technologies",889,887
0003736253,"Green Hills Area Cellular Telephone, Inc.",104,104
0003737194,The Nebraska Central Telephone Co.,6558,6558
0003737467,New Paris Telephones Quality Cablevision,542,542
0003737673,"Service Electric Cablevision, Inc.",25938,12969
0003738416,"Windstream Lakedale, Inc.",2012,2012
0003738424,"Windstream Lakedale Link, Inc.",17,17
0003738465,"Windstream EN-TEL, LLC",6,6
0003738655,"East Ascension Telephone Company, L.L.C.",3466,1908
0003738739,Livingston Telephone Company,1122,561
0003738986,Oregon Telephone Corporation,1678,566
0003738994,North-State Telephone Co.,339,113
0003739075,Farmers Mutual Telephone Company,157,157
0003739208,"Perry-Spencer Rural Telephone Cooperative, Inc.",1727,1235
0003739216,"Perry-Spencer Communications, Inc.",1946,1660
0003739380,"Foothills Rural Telephone Coop. Corp., Inc.",2885,2885
0003739430,"New Ulm Telecom, Inc.",7018,2458
0003739513,"Eyecom, Inc.",53,53
0003739521,"Interior Telephone Company, Inc.",711,711
0003739554,"Mukluk Telephone Company, Inc.",464,464
0003739976,"KENNEBEC TELEPHONE COMPANY, INC",1022,519
0003740008,Western Telephone Company,1776,676
0003740040,Polar Communications Mutual Aid Corporation,9838,8037
0003740396,"Consolidated Communications Networks, Inc.",5391,2554
0003740446,Tonica Telephone Company,77,77
0003740586,"Central Wisconsin Communications, LLC",2,2
0003740594,"COM-LINK, INC.",437,437
0003740610,Inter-Community Telephone,2983,2983
0003740628,"Turtle Mountain Communications, Inc.",5683,3493
0003740701,Lemonweir Valley Telephone Company,857,857
0003741253,Dickey Rural Telephone Cooperative,7473,7473
0003741386,"Palmetto Telephone Communications, LLC",377,377
0003741436,LISMORE COOPERATIVE TELEPHONE CO,288,288
0003741493,Melrose Telephone Company,4259,1942
0003741535,Kasson & Mantorville Telephone Company,1205,907
0003741550,"Interstate Telecommunications Cooperative, Inc.",7328,6770
0003741576,Federated Telephone Cooperative,1262,615
0003741642,Cooperative Telephone Exchange,198,198
0003741733,Madison Telephone Company,1077,1015
0003741857,"Madison Communications, Inc.",803,803
0003741949,"Absaraka Cooperative Telephone Co., Inc.",56,56
0003741956,ELLINGTON TELEPHONE CO,818,810
0003741964,Rockwell Cooperative Telephone Association,1564,782
0003742038,Ellsworth Cooperative Telephone Association,286,286
0003742046,"Lonsdale Telephone Co., Inc.",378,370
0003742103,"FIVE AREA TELEPHONE COOP., INC.",718,717
0003742343,"WEST PLAINS TELECOMMUNICATIONS, iNC.",1079,1079
0003742384,"Red River Rural Telephone Association, Inc.",5699,5699
0003742442,Lumos Networks Inc.,2041,1946
0003742467,Consolidated Telephone Company,1959,1945
0003742475,Harmony Telephone Company,902,902
0003742806,"Hager TeleCom, Inc.",762,362
0003742954,Shawnee Telephone Company,1438,1336
0003742988,ShawneeLink,58,58
0003743358,Hershey Cooperative Telephone Company,3251,3223
0003744125,Price County Telephone Company,958,958
0003744133,"Price County Information Systems, Inc.",165,165
0003744141,"Wood County Telephone Company,  DBA",2128,2079
0003744224,Halstad Telephone Company,4165,2645
0003744273,Osakis Telephone Company,762,424
0003744398,"Lakeland Communications Group, LLC dba Lakeland Communications",1126,1016
0003744463,"TRI County Telephone Association, Inc.",17468,15329
0003744513,Pine Island Telephone Company,1140,557
0003744547,Granada Telephone Company,296,161
0003744562,Eagle Valley Telephone Company,391,175
0003744570,Arrowhead Communications Corporation,431,233
0003744596,Indianhead Telephone Company,2105,943
0003745130,Spring Grove Cooperative Telephone Co,237,237
0003745700,The Ridgeville Telephone Company,328,288
0003745734,North State Telephone Company dba North State Communications,13536,4368
0003745767,Oak Run Associates Ltd/ DECCA Cable,789,789
0003745791,"Dalton Telephone Company, Inc.",1320,670
0003745825,Barnes City Cooperative Telephone Company,76,76
0003745890,The Burt Telephone Company,94,90
0003745908,LOCAL ACCESS NETWORK LLC dba Milaca Local Link,266,133
0003745916,Popp Telcom Incorporated,2455,1972
0003745957,Danville Mutual Telephone Company,1138,550
0003746088,"Wamego Telecommunications Company, Inc.",933,782
0003746104,"Cablevision Lightpath-NY, Inc.",3249,3249
0003746237,William Bauer,146,146
0003746468,"Charter Communications, Inc.",816496,810585
0003746724,"Primelink, Inc.",1607,1309
0003746898,"Allen's TV Cable Service, Inc.",3127,1778
0003746989,Sjoberg's Inc.,1829,1829
0003747235,"Colane Cable TV, Inc.",1188,1188
0003747672,Flat Rock Telephone Co-Op Incorporated,104,104
0003747722,FARMERS MUTUAL TELEPHONE COMPANY,1007,952
0003747847,"Yadkin Valley Telecom, Inc.",642,363
0003748043,Farber Telephone Company,48,48
0003748068,Farmers Mutual Cooperative Telephone Company,147,147
0003748084,Grand Mound Cooperative Telephone Association,162,94
0003748167,Hubbard Cooperative Telephone Association,108,108
0003748183,Interstate 35 Telephone Company,223,223
0003748191,"La Motte Telephone Company, Inc.",125,116
0003748258,Louisa Communications,1524,762
0003748258,"Mutual Telephone Company of Morning Sun, Iowa",996,498
0003748266,Randolph Telephone Telecommunications Inc.,132,132
0003748282,"Lynnville Telephone Company, Inc.",86,86
0003748340,Mechanicsville Telephone Company,664,223
0003748449,"Olin Telephone Company, Inc.",651,201
0003748506,Palmer Mutual Telephone Company,152,152
0003748514,Palo Cooperative Telephone Association,132,132
0003748522,"Prairieburg Telephone Company, Incorporated",217,109
0003748589,Preston Telephone Company,371,310
0003749082,"Jefferson County Cable, Inc",471,471
0003749116,blue devil cable television inc,468,468
0003749140,"Southwest Telephone Exchange, Inc.",192,192
0003749215,Dunkerton Telephone Cooperative,240,130
0003749264,"Citizens Telephone Cooperative, Inc.",596,544
0003749413,"Midtel Cable TV, Inc.",989,981
0003749512,Searsboro Telephone Company,59,59
0003749538,Sharon Telephone Company,927,309
0003749561,"Springville Cooperative Telephone Association, Inc.",428,214
0003749587,Titonka Telephone Company,130,125
0003749611,Villisca Farmers Telephone Company,686,343
0003749645,Walnut Telephone Company,1374,546
0003749678,"En-Touch Systems, Inc.",4926,2463
0003749819,Cassadaga Telephone Corporation,188,188
0003749835,Grand Mound Communications Company,803,420
0003749843,DFT Local Service Corporation,1162,1162
0003749983,R & R Cable Company,123,123
0003750171,MTC COMMUNICATIONS INC,2012,1642
0003752466,Eastern Cable Corp,145,145
0003752508,Manning Municipal Communication & Television System Utitlty,88,88
0003752730,"Irvine Community Television, Inc",664,332
0003753530,Northland Cable Ventures LLC,1966,983
0003753639,"Millington CATV,Inc.",681,681
0003754652,Bijou Telephone Cooperative Association Inc.,299,299
0003754686,"Louisiana Competitive Telecommunications, Inc.",1434,478
0003754785,"Service Electric Cable TV, Inc.",25940,25940
0003755642,Farmers & Merchants Mutual Telephone Company,1207,617
0003755741,"Call One, Inc.",98,98
0003755808,Midstate Telephone Company,533,533
0003755832,Midstate Communications Inc.,440,440
0003756764,Coon Creek Telephone Company,141,141
0003756798,Coon Creek Telecommunications Corp.,531,531
0003757275,Cavalier Telephone,16008,9625
0003757341,"Buckeye Cablevision, Inc.",7751,7751
0003757366,"BENTON CABLEVISION, INC.",616,421
0003757374,Arcadia Telephone Cooperative,63,63
0003757432,Northeast Florida Telephone Company,1414,897
0003757564,Tatum Telephone Company,134,133
0003757580,Electra Telephone Company,672,570
0003757788,Superior Telephone Cooperative,112,112
0003757838,Royal Telephone Company,102,102
0003758109,Van Horne Cooperative Telephone Company,179,179
0003758877,"Santel Communications Cooperative, Inc.",8982,8596
0003759073,REYNOLDS CABLE TV INC.,3,3
0003759859,RUNESTONE TELEPHONE ASSOCIATION,2289,1978
0003759891,"Golden West Cablevision, Inc.",3962,3962
0003759917,DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE,5140,5135
0003762010,"Windstream Concord Telephone, Inc",5402,5402
0003762465,"HOOD CANAL TELEPHONE CO., INC.",681,610
0003762796,Reynolds Telephone Company,166,150
0003762820,Karban TV Systems Inc.,499,499
0003763471,CT CUBE INC DBA WEST CENTRAL WIRELESS,32769,32769
0003763760,Myvocom,322,322
0003764487,"First Communications, LLC",2934,2934
0003764735,Alhambra-Grantfork Telephone Company,296,177
0003764966,Ponderosa Cablevision,47,47
0003765617,"Armstrong Utilities, Inc.",42858,21429
0003765781,"Standard Tobacco Company, Inc.",469,469
0003766144,"Knology of Alabama, Inc.",41551,41551
0003766201,Blanca Telephone Company,1400,1309
0003766623,Jade Communications LLC,1400,1309
0003766680,WTC Communications Inc.,406,281
0003768025,"BTC, Inc.",3476,2211
0003768165,"COMCAST CABLE COMMUNICATIONS, LLC",1674150,1674137
0003768215,Complete Communication Services,124,124
0003770351,SOUTHERN VERMONT CABLE CO.,255,255
0003770815,Valley Telephone Company,284,284
0003770948,Otter Tail Telcom LLC,1290,867
0003771169,South Central Wireless Inc.,2083,1749
0003772274,KLM Telephone Company,1462,1352
0003772290,N. W. Communications,108,108
0003772753,Taconic Telephone Corp.,4785,2810
0003772787,"Clarence Telephone Co., Inc.",181,181
0003772993,"Diverse Communications, Inc.",114,114
0003772993,Woodhull Community Telephone Company,201,201
0003773074,Bellaire Television Cable Co. Inc,4,4
0003773298,"J & N Cable Systems, Inc.",94,94
0003773405,"Northwest Community Communications, Inc.",850,850
0003773454,The Bergen Telephone Company,60,60
0003773504,Bernard Communications,375,375
0003773504,"Bernard Telephone Company, Inc.",375,375
0003773520,Bruce Telephone Company,548,437
0003773579,Cochrane Cooperative Telephone Company,398,398
0003773629,Coon Valley Farmers Telephone Company,429,429
0003773702,Farmers Independent Telephone Company,754,609
0003773751,"Felton Telephone Company, Inc.",521,361
0003773777,Home Telephone Company,292,251
0003773827,Lost Nation-Elwood Telephone Company,267,267
0003773975,Mabel Cooperative Telephone Company,588,588
0003773991,Christensen Communications Co.,468,468
0003774023,"Marquette-Adams Telephone Cooperative, Inc.",1731,1611
0003774056,Minnesota Valley Telephone Company,513,513
0003774072,Nelson Communications Cooperative,990,990
0003774098,"Ind. Co. Cable TV, Inc",2043,1568
0003774262,Northern Telephone Company,6,6
0003774296,"Richland-Grant Telephone Cooperative, Inc.",1295,874
0003774320,Sharon Telephone Company,337,337
0003774338,"Spring Valley Telephone Company, Inc.",190,190
0003774403,"Tri-County Telephone Cooperative, Inc.",3372,1686
0003774403,Western Wisconsin Communications,2713,2713
0003774460,Wilderness Valley Telephone Company,12,12
0003774478,Winthrop Telephone Company,295,295
0003774494,Wittenberg Telephone Company,595,595
0003774965,Bentleyville Communications Corporation,1689,849
0003775244,Lumos Telephone of Botetourt Inc.,3093,2404
0003775400,Haefele TV Inc.,1879,1763
0003775715,"Grantsburg Telcom, Inc.",51,51
0003775749,"Tech-Com, Inc.",322,320
0003776069,Griswold Cooperative Telephone Company,819,819
0003776507,Glenwood Telecommunications Inc.,21004,19441
0003777307,"Cable Communications of Willsboro, Inc",80,75
0003777448,"All West/Utah, Inc.",332,332
0003777885,Chibardun Telephone Cooperative,1485,1485
0003777919,CTC Telecom,4097,4097
0003777927,Antilles Wireless LLC,7030,5925
0003778594,"Arkwest Communications, Inc.",1426,1426
0003778628,"TSC Communications, Inc.",801,798
0003779675,Champlain Telephone Company,652,391
0003779873,Taloga Cable,1,1
0003781200,"Comteck of Indiana, Inc.",180,180
0003781556,Farmers Telephone Company,398,387
0003783123,"Valor Telecommunications of Texas, LLC",38160,38160
0003783255,"Tel-Star Cablevision, Inc.",264,264
0003784063,"MetroCast Cablevision of New Hampshire, LLC",4821,4821
0003784352,Inter-County Cable Company,19,19
0003784477,"Venture Communications Cooperative, Inc.",8123,7602
0003785300,Westgate Communications LLC,2,2
0003785318,Hiawatha Broadband Communications Inc.,12250,9456
0003786936,"Sierra Communications, Inc.",933,813
0003787991,Cable Co-op,110,110
0003788254,"Bestline Communications, LP",139,135
0003788775,Semo Communications Inc.,770,385
0003788940,Emily Cooperative Telephone Company,354,354
0003789765,"Atwood Cable Systems, Inc.",161,161
0003790003,Laurens Municipal Communications Utility,104,104
0003792686,"Long Lines Metro, LLC",335,300
0003793726,Easton Utilities Commission,1421,955
0003794765,Harlan Municipal Utilities,365,299
0003795697,Cass Telephone Company,1165,1163
0003795739,"Ligonier Telephone Co., Inc.",563,320
0003795754,"Oneida Network Services, Inc.",110,110
0003795754,Oneida Telephone Exchange,155,155
0003800117,"AP&T Wireless, Inc.",645,645
0003800570,"Plateau Telecommunications, Inc.",3020,2954
0003801891,"Helmsco, Inc.",9347,9347
0003801909,"Cambridge Telephone Company, Inc.",865,855
0003801925,Filer Mutual Telephone Company,1570,1521
0003802303,"Ranch Wireless, Inc",92509,92509
0003806668,"Telepak Networks, Inc.",104,52
0003911385,"Windstream Iowa Telecommunications, Inc.",28246,28246
0003911567,Orange City Communications,308,157
0003936168,"Cellular Properties, Inc.",499,499
0003936994,WASHINGTON COUNTY RURAL TELEPHONE COOPERATIVE INC,554,544
0003944527,"Fisher Wireless Services, Inc.",53,53
0004036778,Mediacom Southeast LLC,16856,16850
0004052577,Nittany Media Inc,847,395
0004052791,Gila River Telecommunications Inc.,204,204
0004053609,"Chatmoss Cablevision, Inc.",260,260
0004056248,ATC Communications,1,1
0004056248,Atkins Telephone Company,226,113
0004056602,"Bee Line, Inc.",390,390
0004057147,Adams CATV Inc.,31,31
0004068474,Germantown Telephone Company,522,316
0004069167,Savage Communications Inc.,1583,1583
0004073680,Woodstock Telephone Company,779,779
0004074779,Farmers Telecommunications Corporation,2483,2460
0004112835,The North-Eastern Pennsylvania Telephone Company,2222,2222
0004122651,Benton Rural Electric Association,3517,3517
0004142683,FBN Indiana Inc.,7451,7451
0004156139,Baraga Telephone Company,963,963
0004207239,"Windstream Standard, LLC",4453,4453
0004242723,"Docomo Pacific, Inc.",44,44
0004245569,"Wood's Performance Center, Inc.",325,325
0004246898,Logan Telephone Cooperative Inc,1553,1497
0004251419,"Guadalupe Valley Telephone Cooperative, Inc.",3538,2440
0004255303,"Farmers Mutual Telephone Company, Inc.",627,617
0004257010,"Integra Telecom Holdings, Inc.",18255,15636
0004260436,North Central Communications,155,147
0004260436,"North Central Telephone Cooperative, Inc.",2002,1548
0004261061,"Duo County Telephone Cooperative, Inc.",839,741
0004262853,Hemingford Cooperative Telephone Company,492,492
0004266664,"San Carlos Apache Telecommunications Utility, Inc.",519,464
0004266938,"NTS Communications, Inc.",2970,2780
0004268918,"Central Arkansas Telephone Cooperative,  Inc",878,875
0004269528,Miller Telephone Company,156,156
0004269718,Valliant Telephone Company,7511,6931
0004269775,"Goodman Telephone Company, Inc.",786,393
0004269809,Seneca Telephone Company,913,456
0004269817,Ozark Telephone Company,748,374
0004269833,Accipiter Communications Incorporated,222,219
0004273454,Molalla Telephone Company dba Molalla Communications Company,409,382
0004273728,"Pathway Com-Tel, Inc.",1230,1230
0004273751,Georgetown Telephone Company Inc.,210,210
0004273850,"Alenco Communications, Inc",2642,2642
0004274007,"Star Telephone Company, Inc.",1252,1252
0004274890,"SkyBest Communications, Inc.",300,233
0004275137,Riviera Telephone Company Inc,213,212
0004278339,"Eastex Telephone Cooperative, Inc.",6423,6423
0004278420,"Santa Rosa Telephone Coop, Inc.",1388,1173
0004278453,West Texas Rural Telephone Cooperative Inc.,2055,2055
0004279154,Board of Water Electric & Communication,650,645
0004280665,"South Plains Telephone Cooperative, Inc.",1140,1011
0004283917,"Lavaca Telephone Company, Inc.-AR",217,217
0004285466,Nortex Communications Company,271,266
0004285474,Muenster Tel Corp of Texas d/b/a Nortex Communications,808,715
0004285623,"Brazos Telephone Cooperative, Inc.",4112,3016
0004296356,"interstate wireless, inc.",316,316
0004301339,Metamora Telephone Company,1004,526
0004301370,Marseilles Telephone Company,878,522
0004301388,"MTCO Communications, Inc.",5997,5789
0004306825,PLANTERS RURAL TELEPHONE COOP,1922,1882
0004309522,Southwest Oklahoma Telephone Company,17074,15985
0004309548,"Millington Telephone Co., Inc.",820,820
0004310298,Griggs County Telephone Co,2128,2128
0004310694,"Peoples Telecommunications, LLC",882,882
0004311304,Johnson Telephone Company,762,651
0004311320,LVT Corp,54,53
0004311528,Armstrong Telephone Company - Northern Division,588,588
0004311627,"Agate Mutual Telephone Cooperative Association, Inc.",46,46
0004311809,Nunn Telephone Company,243,241
0004312187,NNTC Wireless LLC,10,10
0004312187,Nucla-Naturita Telephone Company,222,222
0004313243,Mainstreet Communications LLC,369,363
0004313342,"SRT Communications, Inc.",11926,8848
0004313953,Pattersonville Telephone Company,170,170
0004314100,"K & M Telephone Company, Inc.",498,444
0004314316,Phillips County Telephone Company,1197,862
0004314480,"Nicholville Telephone Co., Inc.",248,248
0004314605,Empire Telephone Corp.,1621,1386
0004314704,Spacenet Inc.,1,1
0004315362,"Ontario Telephone Company, Inc.",221,221
0004315461,"Pine Telephone System, Inc.",585,229
0004317368,Castleberry Telephone Company Inc,266,266
0004317731,"Eastern Slope Rural Telephone Association, Inc.",2534,2534
0004318556,Clements Telephone Company Inc.,177,59
0004318846,HIGHLAND TELEPHONE COOPERATIVE,483,480
0004318929,"MH Telecom, LLC",1185,969
0004319026,"Cannon Valley Telecom, Inc.",1508,690
0004319117,Crossville Telephone Company,90,90
0004319257,"ComSouth Telecommunications, Inc.",654,654
0004319372,"Wikstrom Telephone Company, Inc.",4176,4176
0004319406,"Buckeye TeleSystem, Inc.",2082,1653
0004319414,"NuVox, Inc.",5125,4997
0004319430,Talk America Inc. d/b/a Cavalier Telephone also d/b/a Cavalier Business Communications also d/b/a Cavalier Telephone and TV,33045,7655
0004319703,Bascom Long Distance Inc.,5150,5150
0004319737,Bascom Mutual Telephone Company,403,403
0004320065,"FTC Diversified Services, LLC",2286,1780
0004320107,"FTC Communications, LLC",873,873
0004320164,Gardonville Coop.  Tele. Assn.,11164,10383
0004320297,"Baca Valley Telephone Company, Inc.",1084,1015
0004320362,Yucca Telecommunications Systems,3140,2060
0004320412,Terral Telephone Company,168,168
0004320545,"Brown County CLEC, LLC",80668,72366
0004320883,"La Ward Telephone Exchange, Inc.",403,383
0004320909,"Ganado Telephone Company, Inc.",338,338
0004321063,C-I COMMUNICATIONS INC,125,125
0004321113,"Lipan Telephone Co., Inc.",741,741
0004321451,Whidbey Telephone Company,511,503
0004321618,Community Service Telephone Co,1059,664
0004321733,"Cumby Telephone Coop., Inc.",1293,583
0004321790,"Direct Communications Rockland, Inc.",8445,2815
0004322053,"LaHarpe Telephone Company, Inc.",118,118
0004322079,Madison Telephone Company,493,493
0004322095,"Callaway Telephone Company, Inc.",148,148
0004322178,"NORTHEAST TELEPHONE COMPANY, INC.",1811,1784
0004322269,"Geetingsville Telephone Co., Inc.",409,400
0004322335,Jordan Solier Valley Telephone Company,51,50
0004322350,"West Carolina Communications, LLC",427,385
0004322665,"Tekstar Communications, Inc.",3007,2544
0004322889,Gorham Telephone Company,638,638
0004322897,"Smithville Communications,  Inc.",1763,1762
0004322913,"Smithville Telecom, Inc",196,196
0004323499,Hamilton County Telephone Coop,1250,1228
0004323507,"Hamilton County Communications, Inc.",5888,5798
0004323556,"Dunnell Telephone Company, Inc.",70,70
0004324570,FISHERS ISLAND TELEPHONE CORPORATION,53,53
0004324620,THE NOVA TELEPHONE COMPANY,127,127
0004324661,HOT SPRINGS TELEPHONE COMPANY,289,289
0004324802,North Penn TelephoneCompany,967,967
0004324828,"THE MCCLURE TELEPHONE COMPANY, INC.",219,219
0004325148,City fo Ketchikan,1119,290
0004325205,Monmouth Telephone & Telegraph,246052,126449
0004325403,E. Ritter Telephone Company,285,285
0004326070,Stoneham Cooperative Telephone Corporation,75,75
0004326815,Blue Earth Valley Telephone Company,4304,1964
0004326849,Eckles Telephone Company,1126,406
0004326872,Easton Telephone Company,898,456
0004327201,"Wabash Telephone Cooperative, Inc.",2136,1854
0004327219,"Wabash Independent Networks, Inc.",372,363
0004327417,"Elsie Communications, Inc.",58,58
0004327961,Manchester-Hartland Telephone Company,264,264
0004328118,"Chickasaw Telecommunications Services, Inc.",1272,1272
0004328134,Zumbrota Telephone Company,157,157
0004328654,Ayersville Telephone Company,199,199
0004328704,Daviess-Martin County Rural Telephone Corporation,1434,717
0004329033,Action Communications Inc.,31718,20522
0004329264,Clearcom Inc,57,54
0004329314,ARAPAHOE TELEPHONE COMPANY,2069,2069
0004329314,ATCJET.NETLLC,13319,13319
0004329330,ARTHUR MUTUAL TELEPHONE COMPANY,454,227
0004329348,"Hartman Telephone Exchanges, Inc.",933,639
0004329538,CITIZENS TELEPHONE CORP,653,523
0004329587,Fort Randall Telephone company,837,837
0004329611,Clara City Telephone Company,288,288
0004329629,Sacred Heart Telephone Company,60,60
0004329652,Starbuck Telephone Company,220,220
0004329710,Clear Creek Mutual Telephone Company,354,196
0004329785,"Leonore Mutual Telephone Company, Inc.",25,25
0004329884,Kalama Telephone Company,354,354
0004330007,"Rochester Telephone Co., Inc.",829,829
0004330205,"BLOOMINGDALE HOME TELEPHONE COMPANY,INC.",126,126
0004330353,Tenino Telephone Company,466,466
0004330387,"MIDWEST TELECOM OF AMERICA, INC",12741,12741
0004330866,"Nyecom Teleservices, Inc.",76,76
0004330874,"CENTRAL TEXAS TELEPHONE COOPERATIVE, INC.",4152,3481
0004330890,Plainview Telephone Company,601,601
0004330908,Cascade Communications Company,291,270
0004330916,RICHMOND TELEPHONE COMPANY,79,79
0004330940,Cedar Communications,639,213
0004330965,Casey Mutual Telephone Company,139,139
0004331039,Keystone Farmers Cooperative Telephone Company,380,380
0004331047,"Thacker-Grigsby Telephone Co., Inc.",3143,2746
0004331062,Massena Telephone Company,490,245
0004331070,Wauneta Telephone Company,564,458
0004331492,Telephone Associates Inc,14,14
0004331682,Chautauqua & Erie Telephone Corporation,1169,1083
0004331724,"Northern Telephone Cooperative, Inc.",1156,1040
0004332102,Columbus Grove Telephone Co.,762,254
0004332128,GLASFORD TELEPHONE COMPANY,161,152
0004332912,RTC Communications Corp.,2701,2593
0004333035,"Colorado Valley Telephone Cooperative, Inc.",2243,2243
0004333043,"Waverly Hall Telephone, LLC",205,205
0004333050,HUXLEY COMMUNICATIONS COOPERATIVE,796,542
0004333266,Wabash Mutual Telephone Company,1860,1765
0004333407,Brazoria Telephone Company,287,287
0004333647,"Freedom Ring Communications, LLC d/b/a Union Long Distance",1077,898
0004333845,"Spectrotel, Inc.",415,399
0004334017,Scio Mutual Telephone Association,186,186
0004334439,Delhi Telephone Company,652,652
0004334686,Lackawaxen Telecommunications Services Inc.,368,368
0004334918,"Hartington Telecommunications Co., Inc.",592,592
0004334934,"Alma Telephone Company, Inc.",1753,1379
0004335287,Northern Telephone & Data,260,260
0004335584,MCI Communications Corporation,39910,39890
0004335600,"ConNEXTions Telcom f/k/a FEC Communications, L.L.P.",434,326
0004335873,"MGW Telephone Company, Inc.",168,168
0004337002,"Spruce Knob Seneca Rocks Telephone, Inc.",683,683
0004337044,Northeast Missouri Rural Telephone Company,3708,3667
0004337218,Oneida County Rural Telephone Co.,486,486
0004337283,Northland Networks,3116,3116
0004337648,Moapa Valley Telephone Co.,542,264
0004337689,Monitor Cooperative Telephone Company,152,76
0004337721,MOnroe Telephone Company,163,159
0004338026,Union River Telephone Company,350,348
0004338307,FiberComm L.C.,9680,5863
0004338315,Premier Communications,1868,1555
0004338463,Western Telephone Company,761,761
0004338489,"Farmers Telephone Company, Inc.",229,210
0004338851,Buckland Telephone Co.,600,300
0004339404,Trenton Telephone Co.,576,469
0004339453,Adams Telephone Co-Operative,4173,1994
0004339487,Adams Telsystems Inc.,11953,10338
0004339768,"Orange Business Services U.S., Inc",33,33
0004339784,Wirelessbeehive.com LLC,287,112
0004339800,BEEHIVE TELEPHONE CO. INC - NV,16,16
0004339982,"AlasConnect, LLC",4352,2546
0004340410,"JBN Telephone Company, Inc.",2426,2426
0004340949,Canby Telephone Association,617,516
0004341285,Yadkin Valley Telephone Membership Corporation,2783,1672
0004341798,The Ft. Jennings Telephone Co.,356,244
0004341830,"CP-TEL Network Services, Inc.",343,343
0004341855,"Campti-Pleasant Hill Telephone Co., Inc.",589,578
0004342473,Pigeon Telephone Company,4955,4955
0004344776,Medicine Park Telephone Company,95,72
0004345880,"Huntleigh Telecommunications Group, Inc.",17552,17538
0004346474,GEUS,1106,1106
0004349734,"Clear Rate Communications, Inc.",14563,7941
0004350252,Micronesian Telecomm. Corp,297,148
0004350930,"BullsEye Telecom, Inc.",462,461
0004356952,"Franklin Telephone Co, Inc.",105,79
0004357216,"ComSouth Teleservices, Inc.",654,654
0004359279,"Cutter Communications, Inc. dba Grayson Collin Communications",448,173
0004359444,"Westel, Inc",1214,1214
0004360731,Advanced Communications Technology,894,516
0004362364,KanOkla Telephone Association,1138,1138
0004362372,"Mid-Plains Rural Telephone Cooperative, Inc.",457,359
0004362505,Midwest Data Center,2333,1780
0004362505,Rock Port Telephone Company,1013,612
0004364022,"Northern Valley Communications, LLC",6132,4877
0004365276,Atlas Telephone Company,277,276
0004365334,Hinton Telephone Company,1401,1401
0004365516,City of Thomasville Utilities,748,707
0004365961,"Jaguar Communications, Inc",1940,1940
0004367678,Marianna Scenery Hill Telephone Company,412,334
0004371795,SEI Data Inc.,310,308
0004372322,UNITED STATES CELLULAR CORPORATION,230192,230192
0004373411,Ellerbe Telephone Company,736,717
0004373973,"World Communications, Inc.",511,451
0004374039,"Lake Livingston Telephone Company, Inc.",173,167
0004374047,"New Florence Telephone Company, Inc.",194,97
0004374153,"Topsham Communications, LLC",70,70
0004374153,Topsham Telephone Company,104,102
0004374187,Castle Cable TV,181,137
0004374187,"Citizens Telephone Company of Hammond, NY",104,102
0004379707,Armstrong Telephone Company-MD,318,318
0004379715,Armstrong Telephone Company-NY,321,321
0004379723,Armstrong Telephone Company-PA,137,137
0004379731,Armstrong Telephone Company-WV,195,195
0004379749,Armstrong Telephone Company-North,48,48
0004380945,Mulberry Cooperative Telephone Co. Inc.,396,262
0004380952,Cuba City Telephone Exchange Co,248,248
0004380986,Belmont Telephone Company,173,173
0004381174,Mount Angel Telephone Company,130,114
0004381281,"Kalida Telephone Co., Inc.",341,341
0004381323,Blossom Telephone Company Inc.,155,150
0004381380,"Great Plains Communications, Inc.",13505,8335
0004381422,Citizens Telephone Cooperative,1490,1391
0004381505,Smart City Telecommunications LLC,1507,645
0004381729,NEXTGEN Communications LLC,134,134
0004382602,Climax Telephone Company,509,460
0004384111,"DUNBARTON TELEPHONE COMPANY, INC.",83,77
0004384517,"Poka Lambro Telephone Cooperative, Inc.",7582,5166
0004384525,"Poka Lambro Telecommunications, Ltd.",6277,4612
0004491544,Berkshire Telephone Corp.,1013,391
0004496774,"AT&T Corp, Inc.",33,33
0004500591,John Guzzo,18605,18605
0004519732,Bristol Bay Telephone Cooperative Inc,156,156
0004523817,"Eagle Telephone System, Incorporated",255,202
0004529681,ROADRUNNER COMMUNICATIONS INC,30045,30045
